eventID,occurrenceID,basisOfRecord,individualCount,organismQuantity,organismQuantityType,occurrenceStatus,scientificName,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,recordedBy,type,ownerInstitutionCode
N1Stream,,kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,,,,
N1Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Plecoptera,,,,,,,,
N1Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,,,,,,,
N1Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Trichoptera,Philopotamidae,,,,,,,
N1Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Ephemeroptera,Heptageniidae ,,,,,,,
N2Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,,,,
N2Stream,,kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,Plecoptera,,,,,,,,
N2Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Diptera,Dixidae,,,,,,,
N3Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,,,,
N3Stream,,kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,Plecoptera,,,,,,,,
N3Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,,,,,,,
N3Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Coleoptera,,,,,,,,
N4Stream,,kicksampling,4,4,,present,,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,,,,,,,
N4Stream,,kicksampling,2,2,,present,,Animalia,Arthropoda,Insecta,Plecoptera,,,,,,,,
N4Stream,,kicksampling,3,3,,present,,Animalia,Arthropoda,Insecta,Diptera,Simuliidae,,,,,,,
N4Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Trichoptera,Philopotamidae,,,,,,,
N4Stream,,kicksampling,1,1,,present,,Animalia,Nematomorpha,Gordioida,Gordioidea,,,,,,,,
N4Stream,,kicksampling,1,1,,present,,Animalia,Arthropoda,Insecta,Trichoptera,Leptoceridae,,,,,,,
